policy_id,policy_name,keyword,description,category_large,category_middle,support_content,apply_method,apply_url,reference_url,apply_period,min_age,max_age,income_code,income_condition,extra_condition,target_condition,region_code,search_text
20260504005400113138,다문화청년 취᭼창업지원 사업,교육지원,다문화청년이 취᭼창업을 통한 주체적 역량으로서 성장이 필요함에 따라 취᭼창업 교육을 통해 현실적᭼경제적 자립 지원,일자리,취업,다문화가족 청년 대상 취᭼창업준비를 위한 프로그램 지원,"신청(신청자)→접수(읍면동)→조사(시군 조사팀)→지원결정(시군 사업팀)
※ 전문자격증(간호조무사, 보육교사, 조리사등)은 관련 여성인력개발센터, 여성새로일하기센터 연계지원",,https://youth.chungnam.go.kr/web/main/customSupp/M030-01/view?bizId=A2024021500300201100001197,20260301 ~ 20260331,0,0,0043003,-,해당사항 없음,제한없음,"44130,44150,44180,44200,44230,44250,44270,44710,44760,44770,44790,44800,44810,44825",다문화청년 취᭼창업지원 사업 교육지원 다문화청년이 취᭼창업을 통한 주체적 역량으로서 성장이 필요함에 따라 취᭼창업 교육을 통해 현실적᭼경제적 자립 지원 일자리 취업 다문화가족 청년 대상 취᭼창업준비를 위한 프로그램 지원 해당사항 없음 제한없음
20260504005400113137,SW중심대학 지원,교육지원,대학 SW교육 혁신을 통한 국가·기업·학생의 경쟁력 강화 및 소프트웨어 가치 확산 선도 대학 육성,교육･직업훈련,미래역량강화,"SW전공/융합과정 개설·교육, 온/오프라인 교육콘텐츠 개발·활용, 도내 청소년 및 초·중·고 교사 대상 SW교육 등",별도 문의,,https://youth.chungnam.go.kr/web/main/customSupp/M030-02/view?bizId=A20250415CT000000000002223,,0,0,0043001,,해당 없음,해당 없음,"44130,44150,44180,44200,44230,44250,44270,44710,44760,44770,44790,44800,44810,44825","SW중심대학 지원 교육지원 대학 SW교육 혁신을 통한 국가·기업·학생의 경쟁력 강화 및 소프트웨어 가치 확산 선도 대학 육성 교육･직업훈련 미래역량강화 SW전공/융합과정 개설·교육, 온/오프라인 교육콘텐츠 개발·활용, 도내 청소년 및 초·중·고 교사 대상 SW교육 등 해당 없음 해당 없음"
20260504005400213136,천안청년센터 이음 운영,맞춤형상담서비스,천안청년센터 이음 운영,참여･기반,정책인프라구축,"청년능력개발지원사업, 청년심리정서지원사업, 1인가구지원사업, 지역정착지원사업, 청년네트워크지원사업, 청년문화활성화지원사업, 청년센터홍보활동, 고립은둔청년지원사업",천안청년센터 이음 홈페이지 참고(각 프로그램별 상이),https://www.ch2030youth.kr/,,,18,39,0043001,,해당없음,제한없음,44130,"천안청년센터 이음 운영 맞춤형상담서비스 천안청년센터 이음 운영 참여･기반 정책인프라구축 청년능력개발지원사업, 청년심리정서지원사업, 1인가구지원사업, 지역정착지원사업, 청년네트워크지원사업, 청년문화활성화지원사업, 청년센터홍보활동, 고립은둔청년지원사업 해당없음 제한없음"
20260504005400113135,SW미래채움,교육지원,지역 내 미취업 청년 등을 SW교육 전문강사로 양성하고 SW교육 지원을 통한 SW미래인재 양성,교육･직업훈련,미래역량강화,"SW전공/융합과정 개설·교육, 온/오프라인 교육콘텐츠 개발·활용, 도내 청소년 및 초·중·고 교사 대상 SW교육 등",별도 문의,,https://youth.chungnam.go.kr/web/main/customSupp/M030-02/view?bizId=A20250415CT000000000002222,,19,0,0043001,,해당 없음,해당 없음,"44130,44150,44180,44200,44230,44250,44270,44710,44760,44770,44790,44800,44810,44825","SW미래채움 교육지원 지역 내 미취업 청년 등을 SW교육 전문강사로 양성하고 SW교육 지원을 통한 SW미래인재 양성 교육･직업훈련 미래역량강화 SW전공/융합과정 개설·교육, 온/오프라인 교육콘텐츠 개발·활용, 도내 청소년 및 초·중·고 교사 대상 SW교육 등 해당 없음 해당 없음"
20260504005400113134,창의융합형 공학인재양성지원,교육지원,산업계 수요에 부합하는 교육 프로그램 개발·운영을 통한 공학교육의 글로벌 경쟁력 제고 및 창의융합형 공학인재 양성,일자리,취업,"ㅇ 산업계 수요에 부합하는 공학교육 프로그램 개발 및 운영지원
- 교육프로그램 개발·운영 및 캠프 운영, 캡스톤 디자인 지원, 현장실습·견학 등",별도 문의,,https://youth.chungnam.go.kr/web/main/customSupp/M030-02/view?bizId=A20250415CT000000000002199,,0,0,0043003,-,해당 없음,해당 없음,"44130,44150,44180,44200,44230,44250,44270,44710,44760,44770,44790,44800,44810,44825","창의융합형 공학인재양성지원 교육지원 산업계 수요에 부합하는 교육 프로그램 개발·운영을 통한 공학교육의 글로벌 경쟁력 제고 및 창의융합형 공학인재 양성 일자리 취업 ㅇ 산업계 수요에 부합하는 공학교육 프로그램 개발 및 운영지원
- 교육프로그램 개발·운영 및 캠프 운영, 캡스톤 디자인 지원, 현장실습·견학 등 해당 없음 해당 없음"
20260504005400113133,청년과 함께하는 자치경찰제 운영(충남자치경찰 청년 서포터즈),"인턴,교육지원","충남형 치안 의제 발굴, 범죄예방 활동 및 홍보, 캠페인 등 추진",참여･기반,청년참여,"실비 지급(교통비, 식비 9,000원)",신청서 및 구비서류 담당자 이메일(plusyou@korea.kr)로 제출,,https://www.chungnam.go.kr/cnapc/main/contents.do?menuNo=1900043,20260701 ~ 20260720,19,39,0043001,,해당 없음,해당 없음,"44130,44150,44180,44200,44230,44250,44270,44710,44760,44770,44790,44800,44810,44825","청년과 함께하는 자치경찰제 운영(충남자치경찰 청년 서포터즈) 인턴,교육지원 충남형 치안 의제 발굴, 범죄예방 활동 및 홍보, 캠페인 등 추진 참여･기반 청년참여 실비 지급(교통비, 식비 9,000원) 해당 없음 해당 없음"
20260504005400213132,생활권 보행환경 종합정비사업 (안서동 청년안심 탄소중립 보행환경 개선),주거지원,민선 8기 공약사업 ‘대학로 조성’ 관련 대학로 특화거리 조성 및 보행안전도로 조성,주거,주택 및 거주지,대학로 특화거리 조성 및 보행안전도로 조성,별도문의,,https://youth.chungnam.go.kr/web/main/customSupp/M040-06/view?bizId=A20260309LC000000000003065,,0,0,0043001,,제한없음,제한없음,44130,생활권 보행환경 종합정비사업 (안서동 청년안심 탄소중립 보행환경 개선) 주거지원 민선 8기 공약사업 ‘대학로 조성’ 관련 대학로 특화거리 조성 및 보행안전도로 조성 주거 주택 및 거주지 대학로 특화거리 조성 및 보행안전도로 조성 제한없음 제한없음
20260504005400113131,2026 충남 창업마루 나비(Starup-NAvi),보조금,"도내 유망 스타트업 발굴 및 육성을 위한 공간 조성, 지속가능한 지역 일자리 토대 마련을 위한 충남 창업의 중심(HUB) 역할 수행",일자리,창업,"입주 지원, 장비·공간 지원, 홍보, 멘토링, 투자, 네트워킹 지원",① 모집공고(공개모집) → ② 요건검토 → ③ 1차평가(서면평가) → ④ 2차평가(발표평가) → ⑤ 면담(심층면담) → ⑥ 계약,http://www.ccceicontest.or.kr/contest/list.php,,,0,0,0043003,-,"제조+4차산업(AI, Big Data, Robotics 등) 융합 item, 미래자동차, 차세대 디스플레이, 반도체, 에너지신산업 등 제조분야(부품·소재 포함),스마트 플랫폼 분야(업종제한 없음), 친환경-기후변화 대응 분야(미세먼지·온실가스 저감, 친환경제품 및 서비스), 바이오, 그 외 디지털·그린 뉴딜 연계분야","· 금융기관으로부터 채무불이행으로 제재 중인 개인, 기업 또는 휴·폐업중인 자
· 국세 또는 지방세 체납 중인 개인, 기업
· 정부정책에 따라 창업지원 사업에 제한되는 업종을 영위하는 자
· 입주신청일 기준 휴·폐업·행정처분 등의 제재가 진행되는 자
· 충청남도, 충남혁신센터 또는 중소벤처기업부 등 정부기관으로부터 창업지원사업의 참여제한 조치가 진행 중인 기업 또는 해당 대표자
· 정부지원 사업 수혜를 위해 다수의 사업장에서 사업을 영위하는 경우","44130,44150,44180,44200,44230,44250,44270,44710,44760,44770,44790,44800,44810,44825","2026 충남 창업마루 나비(Starup-NAvi) 보조금 도내 유망 스타트업 발굴 및 육성을 위한 공간 조성, 지속가능한 지역 일자리 토대 마련을 위한 충남 창업의 중심(HUB) 역할 수행 일자리 창업 입주 지원, 장비·공간 지원, 홍보, 멘토링, 투자, 네트워킹 지원 제조+4차산업(AI, Big Data, Robotics 등) 융합 item, 미래자동차, 차세대 디스플레이, 반도체, 에너지신산업 등 제조분야(부품·소재 포함),스마트 플랫폼 분야(업종제한 없음), 친환경-기후변화 대응 분야(미세먼지·온실가스 저감, 친환경제품 및 서비스), 바이오, 그 외 디지털·그린 뉴딜 연계분야 · 금융기관으로부터 채무불이행으로 제재 중인 개인, 기업 또는 휴·폐업중인 자
· 국세 또는 지방세 체납 중인 개인, 기업
· 정부정책에 따라 창업지원 사업에 제한되는 업종을 영위하는 자
· 입주신청일 기준 휴·폐업·행정처분 등의 제재가 진행되는 자
· 충청남도, 충남혁신센터 또는 중소벤처기업부 등 정부기관으로부터 창업지원사업의 참여제한 조치가 진행 중인 기업 또는 해당 대표자
· 정부지원 사업 수혜를 위해 다수의 사업장에서 사업을 영위하는 경우"
20260504005400113130,청년인턴 사업,인턴,청년 일 경험 기회 제공을 통한 취업 지원,일자리,취업,"기업·공공기관 내 인턴 근무 기회 제공(4개월)
 - 직무교육 및 학점 인정, 자기개발비 지급",별도 문의,,,,19,39,0043003,-,해당 없음,해당 없음,"44130,44150,44180,44200,44230,44250,44270,44710,44760,44770,44790,44800,44810,44825","청년인턴 사업 인턴 청년 일 경험 기회 제공을 통한 취업 지원 일자리 취업 기업·공공기관 내 인턴 근무 기회 제공(4개월)
 - 직무교육 및 학점 인정, 자기개발비 지급 해당 없음 해당 없음"
20260504005400113129,청년예술인 해외 공연,해외진출,청년예술인의 국제무대 경험을 통해 역량강화 및 경력확장 도모,금융･복지･문화,예술인지원,"청년예술인과 멘토 역할을 수행할 전문예술인 해외공연(15명 내외)
 - 중국, 일본, 베트남 등 우호협력단체의 교류행사와 연계 추진",별도 문의,,https://youth.chungnam.go.kr/web/main/bbs/cnyouth_notice/545?cp=1&sortOrder=BA_REGDATE&sortDirection=DESC&bcId=cnyouth_notice&baNotice=false&baCommSelec=false&baOpenDay=false&baUse=true,20260401 ~ 20260630,19,39,0043001,,해당 사항 없음,도내 19~39세 예술인,"44130,44150,44180,44200,44230,44250,44270,44710,44760,44770,44790,44800,44810,44825","청년예술인 해외 공연 해외진출 청년예술인의 국제무대 경험을 통해 역량강화 및 경력확장 도모 금융･복지･문화 예술인지원 청년예술인과 멘토 역할을 수행할 전문예술인 해외공연(15명 내외)
 - 중국, 일본, 베트남 등 우호협력단체의 교류행사와 연계 추진 해당 사항 없음 도내 19~39세 예술인"
